Hugo_Symbol	Chromosome	arm
ALS7	20p13	20p
ALX1	12q21.31	12q
ALX3	1p13.3	1p
ALX4	11p11.2	11p
ALYREF	17q25.3	17q
AMACR	5p13.2	5p
AMBN	4q13.3	4q
AMBP	9q32	9q
AMBRA1	11p11.2	11p
AMCD2B	11pter-p15.5	11p
AMCN	5q35	5q
AMD1	6q21	6q
AMD1P1	10p12.31	10p
AMD1P3	5p12	5p
AMD1P4	6p24.1	6p
AMDHD1	12q23.1	12q
AMDHD2	16p13.3	16p
AMDM	9p13-q12	9p
AMER2	13q12.13	13q
AMER3	2q21.1	2q
AMFR	16q13	16q
AMH	19p13.3	19p
AMHR2	12q13.13	12q
AMIGO1	1p13.3	1p
AMIGO2	12q13.11	12q
AMIGO3	3p21.31	3p
AMLCR2	16q22	16q
AMMECR1L	2q14.3	2q
AMMECR1LP1	13q32.1	13q
AMN	14q32.32	14q
AMN1	12p11.21	12p
AMOTL1	11q21	11q
AMOTL2	3q22.2	3q
AMPD1	1p13.2	1p
AMPD2	1p13.3	1p
AMPD3	11p15.4	11p
AMPH	7p14.1	7p
AMT	3p21.31	3p
AMTN	4q13.3	4q
AMY1A	1p21.1	1p
AMY1B	1p21.1	1p
AMY1C	1p21.1	1p
AMY2A	1p21.1	1p
AMY2B	1p21.1	1p
AMYP1	1p21.1	1p
AMZ1	7p22.3	7p
AMZ2	17q24.2	17q
AMZ2P1	17q24.1	17q
AMZ2P2	6q25.3	6q
ANAPC1	2q13	2q
ANAPC1P1	2p11.2	2p
ANAPC1P2	2p11.2	2p
ANAPC1P3	2p11.2	2p
ANAPC1P4	2p11.2	2p
ANAPC1P5	2p11.2	2p
ANAPC1P6	2q12.2	2q
ANAPC2	9q34.3	9q
ANAPC4	4p15.2	4p
ANAPC5	12q24.31	12q
ANAPC7	12q24.11	12q
ANAPC10	4q31.21	4q
ANAPC10P1	1p32.3	1p
ANAPC11	17q25.3	17q
ANAPC13	3q22.2	3q
ANAPC15	11q13.4	11q
ANAPC15P2	3q26.31	3q
ANAPC16	10q22.1	10q
ANCR	15q11-q12	15q
ANE1	2q12.1-q13	2q
ANG	14q11.2	14q
ANGEL1	14q24.3	14q
ANGEL2	1q32.3	1q
ANGPT1	8q23.1	8q
ANGPT2	8p23.1	8p
ANGPT4	20p13	20p
ANGPTL1	1q25.2	1q
ANGPTL2	9q33.3	9q
ANGPTL3	1p31.3	1p
ANGPTL4	19p13.2	19p
ANGPTL5	11q22.1	11q
ANGPTL6	19p13.2	19p
ANGPTL7	1p36.22	1p
ANGPTL8	19p13.2	19p
ANHX	12q24.33	12q
ANIB1	7q11.2	7q
ANIB2	19q13	19q
ANIB3	1p36.13-p34.3	1p
ANIB4	5p15.2-p14.3	5p
ANK1	8p11.21	8p
ANK2	4q25-q26	4q
ANK2-AS1	4q25	4q
ANK3	10q21.2	10q
ANK3-DT	10q21.2	10q
ANKAR	2q32.2	2q
ANKDD1A	15q22.31	15q
ANKDD1B	5q13.3	5q
ANKEF1	20p12.2	20p
ANKFN1	17q22	17q
ANKFY1	17p13.2	17p
ANKH	5p15.2	5p
ANKHD1	5q31.3	5q
ANKHD1-EIF4EBP3	5q31.3	5q
ANKIB1	7q21.2	7q
ANKK1	11q23.2	11q
ANKL1	7q31.2	7q
ANKLE1	19p13.11	19p
ANKLE2	12q24.33	12q
ANKMY1	2q37.3	2q
ANKMY2	7p21.1	7p
ANKRA2	5q13.2	5q
ANKRD1	10q23.31	10q
ANKRD2	10q24.2	10q
ANKRD6	6q15	6q
ANKRD7	7q31.31	7q
ANKRD9	14q32.31	14q
ANKRD10	13q34	13q
ANKRD10-IT1	13q34	13q
ANKRD11	16q24.3	16q
ANKRD11P1	2p12	2p
ANKRD12	18p11.22	18p
ANKRD13A	12q24.11	12q
ANKRD13B	17q11.2	17q
ANKRD13C	1p31.1	1p
ANKRD13D	11q13.2	11q
ANKRD14	9q22	9q
ANKRD16	10p15.1	10p
ANKRD17	4q13.3	4q
ANKRD18A	9p13.1	9p
ANKRD18B	9p13.3	9p
ANKRD18CP	9q22.33	9q
ANKRD18DP	3q29	3q
ANKRD18EP	6p21.2	6p
ANKRD19P	9q22.31	9q
ANKRD20A1	9q21.11	9q
ANKRD20A2P	9p11.2	9p
ANKRD20A3P	9q21.11	9q
ANKRD20A4P	9q13	9q
ANKRD20A5P	18p11.21	18p
ANKRD20A7P	9p11.1	9p
ANKRD20A8P	2q11.1	2q
ANKRD20A9P	13q11	13q
ANKRD20A10P	13q12.12	13q
ANKRD20A11P	21q11.2	21q
ANKRD20A13P	1q21.1	1q
ANKRD20A14P	unplaced	unp
ANKRD20A15P	1q21.1	1q
ANKRD20A16P	21p11.2	21p
ANKRD20A17P	4p11	4p
ANKRD20A18P	21q11.2	21q
ANKRD20A19P	13q12.12	13q
ANKRD20A20P	9q21.11	9q
ANKRD20A21P	20q11.21	20q
ANKRD22	10q23.31	10q
ANKRD23	2q11.2	2q
ANKRD24	19p13.3	19p
ANKRD26	10p12.1	10p
ANKRD26P1	16q11.2	16q
ANKRD26P2	13q13.3	13q
ANKRD26P3	13q12.11	13q
ANKRD26P4	13q12.3	13q
ANKRD27	19q13.11	19q
ANKRD28	3p25.1	3p
ANKRD29	18q11.2	18q
ANKRD30A	10p11.21	10p
ANKRD30B	18p11.21	18p
ANKRD30BL	2q21.2	2q
ANKRD30BP1	21q11.2	21q
ANKRD30BP2	21q11.2	21q
ANKRD30BP3	10q11.21	10q
ANKRD31	5q13.3	5q
ANKRD33	12q13.13	12q
ANKRD33B	5p15.2	5p
ANKRD33B-AS1	5p15.2	5p
ANKRD33B-IT1	5p15.2	5p
ANKRD34A	1q21.1	1q
ANKRD34B	5q14.1	5q
ANKRD34C	15q25.1	15q
ANKRD34C-AS1	15q25.1	15q
ANKRD35	1q21.1	1q
ANKRD36	2q11.2	2q
ANKRD36B	2q11.2	2q
ANKRD36BP1	1q24.2	1q
ANKRD36BP2	2p11.2	2p
ANKRD36C	2q11.1	2q
ANKRD37	4q35.1	4q
ANKRD39	2q11.2	2q
ANKRD40	17q21.33	17q
ANKRD40CL	17q21.33	17q
ANKRD42	11q14.1	11q
ANKRD44	2q33.1	2q
ANKRD44-AS1	2q33.1	2q
ANKRD44-IT1	2q33.1	2q
ANKRD45	1q25.1	1q
ANKRD46	8q22.3	8q
ANKRD49	11q21	11q
ANKRD49P1	2q36.2	2q
ANKRD49P2	12p11.21	12p
ANKRD49P3	5q31.1	5q
ANKRD49P4	7q31.2	7q
ANKRD50	4q28.1	4q
ANKRD52	12q13.3	12q
ANKRD53	2p13.3	2p
ANKRD54	22q13.1	22q
ANKRD54P1	10q11.21	10q
ANKRD55	5q11.2	5q
ANKRD60	20q13.32	20q
ANKRD61	7p22.1	7p
ANKRD62	18p11.21	18p
ANKRD62P1	22q11.1	22q
ANKRD62P1-PARP4P3	22q11.1	22q
ANKRD63	15q15.1	15q
ANKRD65	1p36.33	1p
ANKRD66	6p12.3	6p
ANKS1A	6p21.31	6p
ANKS1B	12q23.1	12q
ANKS3	16p13.3	16p
ANKS4B	16p12.2	16p
ANKS6	9q22.33	9q
ANKUB1	3q25.1	3q
ANKZF1	2q35	2q
ANLN	7p14.2	7p
ANO1	11q13.3	11q
ANO1-AS1	11q13.3	11q
ANO2	12p13.31	12p
ANO3	11p14.2	11p
ANO3-AS1	11p14.2	11p
ANO4	12q23.1	12q
ANO5	11p14.3	11p
ANO6	12q12	12q
ANO7	2q37.3	2q
ANO7L1	1p36.13	1p
ANO8	19p13.11	19p
ANO9	11p15.5	11p
ANO10	3p22.1-p21.33	3p
ANP32A	15q23	15q
ANP32A-IT1	15q23	15q
ANP32AP1	15q14	15q
ANP32B	9q22.33	9q
ANP32BP1	15q24.2	15q
ANP32BP2	22q13.31	22q
ANP32BP3	15q25.1	15q
ANP32C	4q32.3	4q
ANP32D	12q13.11	12q
ANP32E	1q21.2	1q
ANPEP	15q26.1	15q
ANTKMT	16p13.3	16p
ANTP3	22q13.2	22q
ANTXR1	2p13.3	2p
ANTXR2	4q21.21	4q
ANTXRL	10q11.22	10q
ANTXRLP1	10q11.22	10q
ANXA1	9q21.13	9q
ANXA2	15q22.2	15q
ANXA2P1	4q31.3	4q
ANXA2P2	9p13.3	9p
ANXA2P3	10q21.3	10q
ANXA2R	5p12	5p
ANXA3	4q21.21	4q
ANXA4	2p13.3	2p
ANXA5	4q27	4q
ANXA6	5q33.1	5q
ANXA7	10q22.2	10q
ANXA8	10q11.22	10q
ANXA8L1	10q11.22	10q
ANXA8L2	10q11.22	10q
ANXA9	1q21.3	1q
ANXA10	4q32.3	4q
ANXA11	10q22.3	10q
ANXA13	8q24.13	8q
AOAH	7p14.2	7p
AOAH-IT1	7p14.2	7p
AOC1	7q36.1	7q
AOC2	17q21.31	17q
AOC3	17q21.31	17q
AOC4P	17q21.31	17q
AOM	12q14	12q
AOPEP	9q22.32	9q
AOX1	2q33.1	2q
AOX2P	2q33.1	2q
AOX3P	2q33.1	2q
AOX3P-AOX2P	2q33.1	2q
AP1AR	4q25	4q
AP1B1	22q12.2	22q
AP1B1P1	22q12.3	22q
AP1B1P2	22q12.3	22q
AP1G1	16q22.2	16q
AP1G2	14q11.2	14q
AP1M1	19p13.11	19p
AP1M2	19p13.2	19p
AP1S1	7q22.1	7q
AP1S2P1	7q21.3	7q
AP1S3	2q36.1	2q
AP2A1	19q13.33	19q
AP2A2	11p15.5	11p
AP2B1	17q12	17q
AP2M1	3q27.1	3q
AP2S1	19q13.32	19q
AP3B1	5q14.1	5q
AP3B2	15q25.2	15q
AP3D1	19p13.3	19p
AP3M1	10q22.2	10q
AP3M2	8p11.21	8p
AP3S1	5q22.3-q23.1	5q
AP3S2	15q26.1	15q
AP4B1	1p13.2	1p
AP4B1-AS1	1p13.2	1p
AP4E1	15q21.2	15q
AP4M1	7q22.1	7q
AP4S1	14q12	14q
AP5B1	11q13.1	11q
AP5M1	14q22.3	14q
AP5S1	20p13	20p
AP5Z1	7p22.1	7p
APAF1	12q23.1	12q
APBA1	9q21.12	9q
APBA2	15q13.1	15q
APBA3	19p13.3	19p
APBB1	11p15.4	11p
APBB1IP	10p12.1	10p
APBB2	4p14-p13	4p
APBB3	5q31.3	5q
APC	5q22.2	5q
APC2	19p13.3	19p
APCDD1	18p11.22	18p
APCDD1L	20q13.32	20q
APCDD1L-DT	20q13.32	20q
APCS	1q23.2	1q
APEH	3p21.31	3p
APELA	4q32.3	4q
APEX1	14q11.2	14q
APH1A	1q21.2	1q
APH1B	15q22.2	15q
API5	11p12	11p
API5P2	2q31.2	2q
APIP	11p13	11p
APLF	2p13.3	2p
APLNR	11q12.1	11q
APLP1	19q13.12	19q
APLP2	11q24.3	11q
APMAP	20p11.21	20p
APOA1	11q23.3	11q
APOA1-AS	11q23.3	11q
APOA2	1q23.3	1q
APOA4	11q23.3	11q
APOA5	11q23.3	11q
APOAL	6q26-q27	6q
APOB	2p24.1	2p
APOBEC1	12p13.31	12p
APOBEC2	6p21.1	6p
APOBEC3A	22q13.1	22q
APOBEC3A_B	22q13 alternate reference locus	22q
APOBEC3AP1	4q33	4q
APOBEC3B	22q13.1	22q
APOBEC3B-AS1	22q13.1	22q
APOBEC3C	22q13.1	22q
APOBEC3D	22q13.1	22q
APOBEC3E	22q13.1-q13.2	22q
APOBEC3F	22q13.1	22q
APOBEC3G	22q13.1	22q
APOBEC3H	22q13.1	22q
APOBEC4	1q25.3	1q
APOBR	16p12.1	16p
APOC1	19q13.32	19q
APOC1P1	19q13.32	19q
APOC2	19q13.32	19q
APOC3	11q23.3	11q
APOC4	19q13.32	19q
APOC4-APOC2	19q13.32	19q
APOD	3q29	3q
APOE	19q13.32	19q
APOEL1	16q11-q24	16q
APOF	12q13.3	12q
APOH	17q24.2	17q
APOL1	22q12.3	22q
APOL2	22q12.3	22q
APOL3	22q12.3	22q
APOL4	22q12.3	22q
APOL5	22q12.3	22q
APOL6	22q12.3	22q
APOLD1	12p13.1	12p
APOM	6p21.33	6p
APONP	12q13.3	12q
APOOP1	5q33.3	5q
APOOP2	3p11.2	3p
APOOP3	12q14.3	12q
APOOP4	4q13.2	4q
APOOP5	16q21	16q
APP	21q21.3	21q
APPBP2	17q23.2	17q
APPL	9q31-qter	9q
APPL1	3p14.3	3p
APPL2	12q23.3	12q
APRT	16q24.3	16q
APTR	7q11.23	7q
APTX	9p21.1	9p
AQP1	7p14.3	7p
AQP2	12q13.12	12q
AQP3	9p13.3	9p
AQP4	18q11.2	18q
AQP4-AS1	18q11.2	18q
AQP5	12q13.12	12q
AQP6	12q13.12	12q
AQP7	9p13.3	9p
AQP7P1	9q13	9q
AQP7P2	9q13	9q
AQP7P3	9q21.11	9q
AQP7P4	9q13	9q
AQP7P5	9p11.2	9p
AQP8	16p12.1	16p
AQP9	15q21.3	15q
AQP10	1q21.3	1q
AQP11	11q14.1	11q
AQP12A	2q37.3	2q
AQP12B	2q37.3	2q
AQR	15q14	15q
ARAFP1	7q11.21	7q
ARAFP2	7q11.21	7q
ARAFP3	7q11.21	7q
ARAP1	11q13.4	11q
ARAP1-AS1	11q13.4	11q
ARAP1-AS2	11q13.4	11q
ARAP2	4p14	4p
ARAP3	5q31.3	5q
ARC	8q24.3	8q
ARCN1	11q23.3	11q
AREG	4q13.3	4q
AREGB	4q13.3	4q
AREL1	14q24.3	14q
ARF1	1q42.13	1q
ARF1P1	7q21.3	7q
ARF1P2	12q24.31	12q
ARF1P3	8q24.13	8q
ARF2	3p21.2-p21.1	3p
ARF2P	17q21.31	17q
ARF3	12q13.12	12q
ARF4	3p14.3	3p
ARF4-AS1	3p14.3	3p
ARF4P1	9q34.2	9q
ARF4P2	20q13.33	20q
ARF4P3	13q32.3	13q
ARF4P4	13q31.1	13q
ARF4P5	1p31.1	1p
ARF5	7q32.1	7q
ARF6	14q21.3	14q
ARFGAP1	20q13.33	20q
ARFGAP2	11p11.2	11p
ARFGAP3	22q13.2	22q
ARFGEF1	8q13.2	8q
ARFGEF2	20q13.13	20q
ARFGEF3	6q23.3-q24.1	6q
ARFIP1	4q31.3	4q
ARFIP2	11p15.4	11p
ARFRP1	20q13.33	20q
ARG1	6q23.2	6q
ARG2	14q24.1	14q
ARGFX	3q13.33	3q
ARGFXP1	5q23.2	5q
ARGFXP2	17q11.2	17q
ARGLU1	13q33.3	13q
ARHGAP1	11p11.2	11p
ARHGAP5	14q12	14q
ARHGAP5-AS1	14q12	14q
ARHGAP8	22q13.31	22q
ARHGAP9	12q13.3	12q
ARHGAP10	4q31.23	4q
ARHGAP11A	15q13.3	15q
ARHGAP11B	15q13.2	15q
ARHGAP12	10p11.22	10p
ARHGAP15	2q22.2-q22.3	2q
ARHGAP15-AS1	2q22.3	2q
ARHGAP16P	14q21.2	14q
ARHGAP17	16p12.1	16p
ARHGAP18	6q22.33	6q
ARHGAP19	10q24.1	10q
ARHGAP19-SLIT1	10q24.1	10q
ARHGAP20	11q22.3-q23.1	11q
ARHGAP21	10p12.1	10p
ARHGAP22	10q11.22-q11.23	10q
ARHGAP22-IT1	10q11.22	10q
ARHGAP23	17q12	17q
ARHGAP23P1	16p11.2	16p
ARHGAP24	4q21.23-q21.3	4q
ARHGAP25	2p13.3	2p
ARHGAP26	5q31.3	5q
ARHGAP26-AS1	5q31.3	5q
ARHGAP26-IT1	5q31.3	5q
ARHGAP27	17q21.31	17q
ARHGAP27P1	17q24.1	17q
ARHGAP27P1-BPTFP1-KPNA2P3	17q24.1	17q
ARHGAP27P2	17q24.2	17q
ARHGAP28	18p11.31	18p
ARHGAP29	1p22.1	1p
ARHGAP29-AS1	1p22.1-p21.3	1p
ARHGAP30	1q23.3	1q
ARHGAP31	3q13.32-q13.33	3q
ARHGAP31-AS1	3q13.33	3q
ARHGAP32	11q24.3	11q
ARHGAP33	19q13.12	19q
ARHGAP35	19q13.32	19q
ARHGAP39	8q24.3	8q
ARHGAP40	20q11.23	20q
ARHGAP42	11q22.1	11q
ARHGAP42-AS1	11q22.1	11q
ARHGAP42P1	2q21.1	2q
ARHGAP42P2	2q21.1	2q
ARHGAP42P3	22q11.1	22q
ARHGAP42P4	14q11.2	14q
ARHGAP42P5	14q11.2	14q
ARHGAP44	17p12	17p
ARHGAP45	19p13.3	19p
ARHGDIA	17q25.3	17q
ARHGDIB	12p12.3	12p
ARHGDIG	16p13.3	16p
ARHGEF1	19q13.2	19q
ARHGEF2	1q22	1q
ARHGEF2-AS1	1q22	1q
ARHGEF3	3p14.3	3p
ARHGEF3-AS1	3p14.3	3p
ARHGEF4	2q21.1	2q
ARHGEF5	7q35	7q
ARHGEF7	13q34	13q
ARHGEF7-AS1	13q34	13q
ARHGEF7-AS2	13q34	13q
ARHGEF7-IT1	13q34	13q
ARHGEF10	8p23.3	8p
ARHGEF10L	1p36.13	1p
ARHGEF11	1q23.1	1q
ARHGEF12	11q23.3	11q
ARHGEF15	17p13.1	17p
ARHGEF16	1p36.32	1p
ARHGEF17	11q13.4	11q
ARHGEF18	19p13.2	19p
ARHGEF19	1p36.13	1p
ARHGEF19-AS1	1p36.13	1p
ARHGEF25	12q13.3	12q
ARHGEF26	3q25.2	3q
ARHGEF26-AS1	3q25.2	3q
ARHGEF28	5q13.2	5q
ARHGEF33	2p22.1	2p
ARHGEF34P	7q35	7q
ARHGEF35	7q35	7q
ARHGEF35-AS1	7q35	7q
ARHGEF37	5q32	5q
ARHGEF38	4q24	4q
ARHGEF38-IT1	4q24	4q
ARHGEF39	9p13.3	9p
ARHGEF40	14q11.2	14q
ARID1A	1p36.11	1p
ARID1B	6q25.3	6q
ARID2	12q12	12q
ARID3A	19p13.3	19p
ARID3B	15q24.1	15q
ARID3BP1	1p31.1	1p
ARID3C	9p13.3	9p
ARID4A	14q23.1	14q
ARID4B	1q42.3	1q
ARID4B-IT1	1q42.3	1q
ARID5A	2q11.2	2q
ARID5B	10q21.2	10q
ARIH1	15q24.1	15q
ARIH2	3p21.31	3p
ARIH2OS	3p21.31	3p
ARIH2P1	18q12.1	18q
ARL1	12q23.2	12q
ARL2	11q13.1	11q
ARL2-SNX15	11q13.1	11q
ARL2BP	16q13	16q
ARL2BPP1	18q23	18q
ARL2BPP2	12q13.13	12q
ARL2BPP3	13q13.3	13q
ARL2BPP4	5q23.3	5q
ARL2BPP5	5q34	5q
ARL2BPP6	5q35.2	5q
ARL2BPP7	9q31.1	9q
ARL2BPP8	17q22	17q
ARL2BPP9	17q25.3	17q
ARL2BPP10	22q11.21	22q
ARL3	10q24.32	10q
ARL4A	7p21.3	7p
ARL4AP1	10q21.2	10q
ARL4AP2	4p14	4p
ARL4AP3	10p15.1	10p
ARL4AP4	3p24.2	3p
ARL4AP5	6q25.1	6q
ARL4C	2q37.1	2q
ARL4D	17q21.31	17q
ARL5A	2q23.3	2q
ARL5AP2	10q24.2	10q
ARL5AP3	1p31.3	1p
ARL5AP4	22q11.23	22q
ARL5B	10p12.31	10p
ARL5B-AS1	10p12.31	10p
ARL5C	17q12	17q
ARL6	3q11.2	3q
ARL6IP1	16p12.3	16p
ARL6IP1P1	14q11.2	14q
ARL6IP1P2	10p11.21	10p
ARL6IP1P3	11q14.1	11q
ARL6IP4	12q24.31	12q
ARL6IP5	3p14.1	3p
ARL6IP6	2q23.3	2q
ARL8A	1q32.1	1q
ARL8B	3p26.1	3p
ARL9	4q12	4q
ARL10	5q35.2	5q
ARL11	13q14.2	13q
ARL13B	3q11.1-q11.2	3q
ARL14	3q25.33	3q
ARL14EP	11p14.1	11p
ARL14EPL	5q23.1	5q
ARL14EPP1	2p22.2	2p
ARL15	5q11.2	5q
ARL16	17q25.3	17q
ARL17A	17q21.31	17q
ARL17B	17q21.31	17q
ARLNC1	16q23.2	16q
ARMC1	8q13.1	8q
ARMC2	6q21	6q
ARMC2-AS1	6q21	6q
ARMC3	10p12.2	10p
ARMC4	10p12.1	10p
ARMC4P1	10p12.1	10p
ARMC5	16p11.2	16p
ARMC6	19p13.11	19p
ARMC7	17q25.1	17q
ARMC8	3q22.3	3q
ARMC8P1	9p13.1	9p
ARMC9	2q37.1	2q
ARMC10	7q22.1	7q
ARMC10P1	3q11.2	3q
ARMC12	6p21.31	6p
ARMD1	1q25-q31	1q
ARMH1	1p34.1	1p
ARMH2	6p22.3	6p
ARMH3	10q24.32	10q
ARMH4	14q23.1	14q
ARMS2	10q26.13	10q
ARMT1	6q25.1	6q
ARNILA	2p23.3	2p
ARNT	1q21.3	1q
ARNT2	15q25.1	15q
ARNTL	11p15.3	11p
ARNTL2	12p11.23	12p
ARNTL2-AS1	12p11.23	12p
ARPC1A	7q22.1	7q
ARPC1B	7q22.1	7q
ARPC1BP1	2q34	2q
ARPC2	2q35	2q
ARPC3	12q24.11	12q
ARPC3P1	20q13.13	20q
ARPC3P2	1q32.3	1q
ARPC3P3	11q21	11q
ARPC3P4	11q13.4	11q
ARPC3P5	6p22.3	6p
ARPC4	3p25.3	3p
ARPC4-TTLL3	3p25.3	3p
ARPC5	1q25.3	1q
ARPC5L	9q33.3	9q
ARPIN	15q26.1	15q
ARPIN-AP3S2	15q26.1	15q
ARPP19	15q21.2	15q
ARPP19P1	5q35.3	5q
ARPP19P2	2q11.2	2q
ARPP21	3p22.3	3p
ARPP21-AS1	3p22.3	3p
ARRB1	11q13.4	11q
ARRB2	17p13.2	17p
ARRDC1	9q34.3	9q
ARRDC1-AS1	9q34.3	9q
ARRDC2	19p13.11	19p
ARRDC3	5q14.3	5q
ARRDC3-AS1	5q14.3	5q
ARRDC4	15q26.2	15q
ARRDC5	19p13.3	19p
ARSA	22q13.33	22q
ARSB	5q14.1	5q
ARSG	17q24.2	17q
ARSI	5q32	5q
ARSJ	4q26	4q
ARSK	5q15	5q
ART1	11p15.4	11p
ART2BP	11q13.4	11q
ART2P	11q13.4	11q
ART3	4q21.1	4q
ART4	12p12.3	12p
ART5	11p15.4	11p
ARTN	1p34.1	1p
ARV1	1q42.2	1q
ARVCF	22q11.21	22q
ARVD1	14q23-q24	14q
ARVD2	1q42-q43	1q
ARVD3	14q12-q22	14q
ARVD4	2q32.1-q32.3	2q
ARVD5	3p23	3p
AS3MT	10q24.32	10q
ASAH1	8p22	8p
ASAH2	10q11.23	10q
ASAH2B	10q11.23	10q
ASAH2C	10q11.22	10q
ASAP1	8q24.21-q24.22	8q
ASAP1-IT1	8q24.21	8q
ASAP1-IT2	8q24.21	8q
ASAP2	2p25.1	2p
ASAP3	1p36.12	1p
ASB1	2q37.3	2q
ASB2	14q32.12	14q
ASB3	2p16.2	2p
ASB4	7q21.3	7q
ASB5	4q34.2	4q
ASB6	9q34.11	9q
ASB7	15q26.3	15q
ASB8	12q13.11	12q
ASB9P1	15q26.1	15q
ASB10	7q36.1	7q
ASB13	10p15.1	10p
ASB14	3p14.3	3p
ASB15	7q31.32	7q
ASB15-AS1	7q31.32	7q
ASB16	17q21.31	17q
ASB16-AS1	17q21.31	17q
ASB17	1p31.1	1p
ASB18	2q37.2	2q
ASCC1	10q22.1	10q
ASCC2	22q12.2	22q
ASCC3	6q16.3	6q
ASCL1	12q23.2	12q
ASCL2	11p15.5	11p
ASCL3	11p15.4	11p
ASCL4	12q23.3	12q
ASCL5	1q32.1	1q
ASD1	5p15.31	5p
ASDURF	2q32	2q
ASF1A	6q22.31	6q
ASF1B	19p13.12	19p
ASGR1	17p13.1	17p
ASGR2	17p13.1	17p
ASH1L	1q22	1q
ASH1L-AS1	1q22	1q
ASH1L-IT1	1q22	1q
ASH2L	8p11.23	8p
ASH2LP1	22q11.22	22q
ASH2LP2	22q11.22	22q
ASH2LP3	22q11.22	22q
ASIC1	12q13.12	12q
ASIC2	17q11.2-q12	17q
ASIC3	7q36.1	7q
ASIC4	2q35	2q
ASIC4-AS1	2q35	2q
ASIC5	4q32.1	4q
ASIP	20q11.22	20q
ASL	7q11.21	7q
ASLP1	22q11.23	22q
ASMD	4q28-q31	4q
ASNS	7q21.3	7q
ASNSD1	2q32.2	2q
ASNSP1	8q11.1	8q
ASNSP2	21p11.2	21p
ASNSP3	13q32.3	13q
ASNSP4	8q11.1	8q
ASNSP5	unplaced	unp
ASNSP6	18p11.21	18p
ASPA	17p13.2	17p
ASPDH	19q13.33	19q
ASPG	14q32.33	14q
ASPH	8q12.3	8q
ASPHD1	16p11.2	16p
ASPHD2	22q12.1	22q
ASPM	1q31.3	1q
ASPN	9q22.31	9q
ASPRV1	2p13.3	2p
ASPSCR1	17q25.3	17q
ASRGL1	11q12.3	11q
ASS1	9q34.11	9q
ASS1P1	6p22.3	6p
ASS1P2	2p22.1	2p
ASS1P3	9q21.2	9q
ASS1P7	3q26.32	3q
ASS1P8	4q31.23	4q
ASS1P9	5q11.2	5q
ASS1P10	5q32	5q
ASS1P11	7p15.3	7p
ASS1P12	9p21.1	9p
ASS1P13	11q22.3	11q
ASS1P14	12p11.21	12p
ASTE1	3q22.1	3q
ASTL	2q11.2	2q
ASTN1	1q25.2	1q
ASTN2	9q33.1	9q
ASTN2-AS1	9q33.1	9q
ASXL1	20q11.21	20q
ASXL2	2p23.3	2p
ASXL3	18q12.1	18q
ASZ1	7q31.2	7q
ATAD1	10q23.31	10q
ATAD2	8q24.13	8q
ATAD2B	2p24.1-p23.3	2p
ATAD3A	1p36.33	1p
ATAD3B	1p36.33	1p
ATAD3C	1p36.33	1p
ATAD5	17q11.2	17q
ATAT1	6p21.33	6p
ATCAY	19p13.3	19p
ATD	12p12.2-p11.21	12p
ATE1	10q26.13	10q
ATE1-AS1	10q26.13	10q
ATF1	12q13.12	12q
ATF1P1	6q16.1	6q
ATF2	2q31.1	2q
ATF3	1q32.3	1q
ATF4	22q13.1	22q
ATF4P3	17q25.1	17q
ATF4P4	11q23.2	11q
ATF5	19q13.33	19q
ATF6	1q23.3	1q
ATF6B	6p21.3	6p
ATF7	12q13.13	12q
ATF7-NPFF	12q13.13	12q
ATF7IP	12p13.1	12p
ATF7IP2	16p13.2-p13.13	16p
ATG2A	11q13.1	11q
ATG2B	14q32.2	14q
ATG3	3q13.2	3q
ATG3P1	20q12	20q
ATG4B	2q37.3	2q
ATG4C	1p31.3	1p
ATG4D	19p13.2	19p
ATG5	6q21	6q
ATG7	3p25.3	3p
ATG9A	2q35	2q
ATG9B	7q36.1	7q
ATG10	5q14.1-q14.2	5q
ATG10-AS1	5q14.1	5q
ATG10-IT1	5q14.1	5q
ATG12	5q22.3	5q
ATG12P1	17q25.1	17q
ATG12P2	2q36.1	2q
ATG13	11p11.2	11p
ATG14	14q22.3	14q
ATG16L1	2q37.1	2q
ATG16L2	11q13.4	11q
ATG101	12q13.13	12q
ATHS	19p13.3-p13.2	19p
ATIC	2q35	2q
ATL1	14q22.1	14q
ATL2	2p22.2-p22.1	2p
ATL3	11q13.1	11q
ATM	11q22.3	11q
ATMIN	16q23.2	16q
ATN1	12p13.31	12p
ATOH1	4q22.2	4q
ATOH7	10q21.3	10q
ATOH8	2p11.2	2p
ATOX1	5q33.1	5q
ATP1A1	1p13.1	1p
ATP1A1-AS1	1p13.1	1p
ATP1A2	1q23.2	1q
ATP1A3	19q13.2	19q
ATP1A4	1q23.2	1q
ATP1AL1	13q12.3 or 13q21-q31	13q
ATP1AL2	1q21-q23	1q
ATP1B1	1q24.2	1q
ATP1B1P1	4p13	4p
ATP1B2	17p13.1	17p
ATP1B3	3q23	3q
ATP1B3-AS1	3q23	3q
ATP1B3P1	2p16.1	2p
ATP2A1	16p11.2	16p
ATP2A1-AS1	16p11.2	16p
ATP2A2	12q24.11	12q
ATP2A3	17p13.2	17p
ATP2B1	12q21.33	12q
ATP2B1-AS1	12q21.33	12q
ATP2B2	3p25.3	3p
ATP2B2-IT1	3p25.3	3p
ATP2B2-IT2	3p25.3	3p
ATP2B4	1q32.1	1q
